year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20200903,23.9,31.1,16.8,43.2,1248
20200902,24.5,30.7,19.8,48.6,1247
20200901,25.4,32.5,15.3,1.4,1231
20200831,25.7,33.6,17.3,2.7,1175
20200830,26.7,35.1,19.2,6.8,1178
20200829,26.8,35.1,21.2,12.9,1261
20200828,27.2,35.1,22.1,14.5,1609
20200827,27.4,35.6,21.8,11.9,1611
20200826,27.9,35.5,18.2,18.2,1607
20200825,28.2,36.5,19.5,0.3,1607
20200824,26.7,35.1,15.3,0,1615
20200823,25.7,33.7,16.2,1.1,1623
20200822,25.4,33.3,17.6,8.6,1623
20200821,26.1,34.4,17.5,1.1,1629
20200820,27.2,37.8,17,0.3,1646
20200819,27.6,36.9,18.7,0,1650
20200818,27.6,36,18.2,0,1669
20200817,27.7,36.4,19.9,0,1681
20200816,27.8,36.4,18.7,0,1683
20200815,28,36.6,21.5,8.5,1701
20200814,28.4,36.3,22.1,0.5,1750
20200813,28.1,36.1,21.2,0,2024
20200812,27,34.5,19.5,4.2,2032
20200811,25.8,34.1,19.8,32,2051
20200810,25.8,32.3,20.7,31,2082
20200809,26.1,33.9,18.1,23.8,2369
20200808,23.8,32.7,17.1,64.8,2455
20200807,23.9,32.7,17.9,43.8,2493
20200806,25.4,32.7,18.9,27.8,2498
20200805,26.5,34.3,20,18.4,2683
20200804,26.9,35.1,20.4,13.3,2734
20200803,26.3,33,18.7,25.1,2749
20200802,26.4,34,19.8,20,2760
20200801,26,34.1,19.4,9.8,2746
20200731,25.9,33.7,18.2,3.9,2746
20200730,24.2,31.6,18.5,32.7,2720
20200729,23.8,30.9,17.2,33.5,2713
20200728,23.4,33.8,16.8,13.2,2731
20200727,22.7,28.1,17,11.7,2727
20200726,23.1,30.9,16.2,1.5,2716
20200725,22.3,29.6,17.2,8.2,3166
20200724,21.3,27.2,14.1,24.2,3246
20200723,21.6,30.5,14.5,72,3264
20200722,22.7,30.4,14.8,30.6,3269
20200721,24.9,32.9,15.8,3.8,3265
20200720,25.2,33.5,18.8,8.4,3269
20200719,23.9,34.3,11,5.6,3179
20200718,22.7,32.3,10.8,0.3,3174
20200717,22.8,32.7,10.2,0.5,3134
20200716,21.9,31,7.8,0.7,3134
20200715,20.1,29.4,9.6,3.3,3081
20200714,19.6,25,13,8.7,3083
20200713,19.4,30.6,13.3,83.2,3048
20200712,21.1,26.5,10.7,28.9,3035
20200711,24,31.5,11.8,1,2917
20200710,23.6,30.6,15.3,32.2,2594
20200709,24.3,35,15.3,0.6,2563
20200708,24,33,12.8,0,2522
20200707,24,32.7,15,0.1,2561
20200706,23,31.8,13.6,4.9,2593
20200705,22.3,29.8,13.6,0.1,2826
20200704,21,30.2,13.3,0.5,2818
20200703,21.1,31.5,12.6,5.3,2773
20200702,22.4,30.4,9.6,0.2,2629
20200701,20.8,28.8,10.9,1.1,2396
20200630,20.8,29.3,13,27.9,1253
20200629,21.6,27.8,10.8,39.2,1271
20200628,23.8,33.7,12.7,0,1217
20200627,23.6,31.8,14.8,0.1,1218
20200626,22.9,32,16.5,0.3,1370
20200625,21.6,27.4,16,3.8,1374
20200624,22,27.5,15.8,19.1,1377
20200623,24.4,36.8,12.7,0,1315
20200622,24.1,36.4,10.7,0,1316
20200621,23.1,34.3,13,0.3,1272
20200620,22.4,32.1,12.6,0.1,1238
20200619,21.9,31.6,14,1.2,1234
20200618,19.9,27.7,14.3,18.6,1229
20200617,22.1,31.4,10.5,1.1,1237
20200616,23,32.5,9.8,0,1256
20200615,23.3,33,13.3,0,1256
20200614,23.9,33.2,17.5,18.4,1249
20200613,24,34.4,12.2,18.3,1215
20200612,23.3,32,13.7,11,1213
20200611,24.5,33.5,14.6,10.8,1093
20200610,25,36.1,15.5,11.8,1091
20200609,25.6,37,12.8,0,1087
20200608,24.1,35.6,12.4,0,1016
20200607,22,31.6,9.6,0,1014
20200606,21.9,31.6,8.1,0.6,1055
20200605,23.1,34.6,10.3,0,1054
20200604,24,35.6,12.4,0,1058
20200603,22,31.1,12.9,0.2,1017
20200602,19.5,31.1,8.2,0.5,1079
20200601,20.8,31.2,10.5,0.3,1089
20200531,20.1,30.6,5.6,2.1,1096
20200530,20.4,30.2,4,0,1103
20200529,19.4,29.4,4.4,0,1121
20200528,18.3,28.6,7,0,1127
20200527,18.5,28.2,8,0,1406
20200526,18.4,27.6,8.6,0.4,1433
20200525,17.8,27,9.1,0,1454
20200524,18.6,28.9,10.5,3.8,1372
20200523,18.3,28.6,8,0.1,1482
20200522,16.9,26.8,4.6,0.1,1588
20200521,15.6,25.3,1.3,0,1622
20200520,13.9,23.7,1.9,0.4,1777
20200519,13.7,21.5,4.5,8.7,1845
20200518,18.1,29.5,10.8,16.6,1859
20200517,19.3,29,11,0,1883
20200516,17.4,28,10.6,0.5,1918
20200515,16.1,27.1,10.1,18.2,2070
20200514,18.9,29.6,5.2,0,2071
20200513,16.3,26.5,4,0,2078
20200512,16.6,27.2,7,0.2,2113
20200511,18.3,29.8,7.7,0.3,2166
20200510,15.9,25.8,8.6,0.4,2224
20200509,15.8,27.7,8.8,33.7,2225
20200508,17.2,28.5,3,3.7,2228
20200507,17.1,28.1,0.6,0,2200
20200506,17.8,30.1,3.7,0,2193
20200505,15.4,25.7,5.9,1.3,2179
20200504,19.1,29.7,7.6,0,2176
20200503,18.4,29.2,11.6,13.4,2171
20200502,20.7,31.9,10.8,0.4,2179
20200501,21.1,32.8,8.6,0,2259
20200430,17.2,29,1.8,0,2259
20200429,15,26.5,1.2,0,2263
20200428,13.2,23.2,3.1,0,2263
20200427,11.5,21.4,2.6,0.1,2264
20200426,12.2,21.6,1.2,0.2,2103
20200425,14.1,25.2,0.6,0,2103
20200424,10.3,19.1,1.9,0,2103
20200423,8.7,17,1.7,0,2103
20200422,7.5,16.5,2.1,0,2106
20200421,9.2,19.4,1.7,0,2073
